 0003401010豊 通 ﾆｭｰﾊﾟｯｸ/ﾚﾝｺﾞｰ(株 089501001160407000016033101    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056593020工 程 内   Ｂ Ｗ Ｒ １ 　   043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056493030工 程 内 　 Ｂ Ｗ Ｒ ２     043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056393040工 程 内 　 Ｂ Ｗ Ｒ ３     043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0052493050工 程 内 　 Ｂ Ｗ Ｒ ５     043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057393060工 程 内  BWM1         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057493070工 程 内  BWM2         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057593080工 程 内  WT03         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057693090工 程 内  WT04         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057793100工 程 内  WT05         043101001000000000022053001    010100000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057893110工 程 内  WT06         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057993120工 程 内  WT07         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058093130工 程 内  WT08         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058193140工 程 内  WT09         0431010010000000000220530010   010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058293150工 程 内  WT10         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058393160工 程 内  WT11         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058493170工 程 内  WT12         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058593180工 程 内  WT13         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058693190工 程 内  WT14         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058793200工 程 内  WT15         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058893210工 程 内  WT16         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0058993220工 程 内  WT17         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059093230工 程 内  WT18         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059193240工 程 内  WT19         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059293250工 程 内  WT20         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059393260工 程 内  WT01         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059493270工 程 内  WT02         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055194010工 程 内  LMJ1         068101001000000000022053001    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056794020工 程 内  BJ03         068101001000000000022053001    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056994030工 程 内 　 LJ02        068101001000000000022053001    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059894040工 程 内  LM02         068101001000000000022053001    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059994050工 程 内  LRW02        068101001000000000022053001    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060094060工 程 内  LMH03        068101001000000000022053001    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060594070工 程 内  LK01         068101001000000000000000000    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060694080工 程 内  LK02         068101001000000000000000000    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060494090工 程 内 　 BMA3        043101001000000000000000000    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060794100工 程 内  LK03         068101001000000000000000000    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060894110工 程 内  LK05         068101001000000000000000000    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0061095010工 程 内  LRW01        068101001000000000022053001    010100000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032299010工 程 内 　 Ｄ Ｗ Ｍ １     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032399020工 程 内 　 Ｄ Ｔ ０ １     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032499030工 程 内 　 Ｄ Ｗ ０ ８     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032599040工 程 内 　 Ｄ Ｗ ０ ９     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032699050工 程 内 　 Ｄ Ｗ １ ０     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032799060工 程 内 　 Ｄ Ｗ １ １     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032899070工 程 内 　 Ｐ Ｋ ０ ５     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032999080工 程 内 　 Ｐ Ｋ ０ ６     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033099090工 程 内 　 Ｐ Ｋ ０ ７     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033199100工 程 内 　 Ｐ Ｋ ０ ８     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033299110工 程 内 　 Ｐ Ｒ ０ ２     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033399120工 程 内 　 Ｐ Ｒ ０ ７     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033499130工 程 内 　 Ｐ Ｒ ０ ８     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033599140工 程 内 　 Ｐ Ｒ ０ ９     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033699150工 程 内 　 Ｄ Ｋ ０ ３     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033799160工 程 内 　 Ｐ Ｒ ０ １     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033899170工 程 内 　 Ｐ Ｒ ０ ４     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0033999180工 程 内 　 Ｐ Ｒ ０ ５     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034099190工 程 内 　 Ｐ Ｒ ０ ６     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034199200工 程 内 　 Ｐ Ｒ １ ０     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034299210工 程 内 　 Ｐ Ｎ ０ １     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034399220工 程 内 　 Ｐ Ｎ ０ ２     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034499230工 程 内 　 Ｐ Ｋ １ １     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034599240工 程 内 　 Ｐ Ｋ ０ ３     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034699250工 程 内 　 Ｄ Ｋ ０ ４     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021499260株 式 会 社 　 カ ク ダ イ   000101001000000000000000000    011001000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0040699270工 程 内 　 Ｐ Ｎ ０ ２     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046099280工 程 内 　 Ｐ Ｋ １ ０     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0050699290工 程 内  Ｐ Ｒ Ｗ １      068101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034799380工 程 内 　 Ｓ Ｗ ２ ９     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034899390工 程 内 　 Ｓ Ｗ Ｒ ３     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0034999400工 程 内 　 Ｓ Ｊ ０ ４     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035099410工 程 内 　 Ｓ Ｗ Ｒ ２     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035199420工 程 内 　 Ｓ Ｗ Ｍ １     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035299430工 程 内 　 Ｓ Ｗ Ｒ １     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035399440工 程 内 　 Ｂ Ｗ １ ８     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035499450工 程 内 　 Ｓ Ｗ Ｒ ４     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035599460工 程 内 　 Ｂ Ａ ０ ９     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035699470工 程 内 　 Ｂ Ｗ ２ ３     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035799480工 程 内 　 Ｂ Ｗ ２ ４     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035899490工 程 内 　 Ｂ Ｗ １ ０     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0035999500工 程 内 　 Ｂ Ｗ １ ４     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036099510工 程 内 　 Ｂ Ｒ １ １     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046699520工 程 内   Ｂ Ｗ ２ ９     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036199620工 程 内 　 Ｓ Ｗ Ｒ ５     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036299630工 程 内 　 Ｓ Ｗ Ｍ ２     045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036399640工 程 内 　 Ｓ Ｗ Ｍ ３     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038499650工 程 内 　 Ｓ Ｗ ３ ２     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038599660工 程 内 　 Ｂ Ｗ 26      043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0040899700工 程 内  Cラ イ ン  BQ16 043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0040999710工 程 内  Cラ イ ン  BQ17 043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041099720工 程 内  Cラ イ ン (TQ)  043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044899730工 程 内 Cラ イ ン (TD)   043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056099740工 程 内 Cラ イ ン  BK01  04310100100000000000000000043  010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042199900工 程 内   Ｂ Ｗ 30      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036499910工 程 内  Ｂ Ｒ １ ４      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036599911工 程 内 　 Ｒ Ｐ ０ １     052101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036699920工 程 内 　 Ｒ Ｒ ０ １     052101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036799930工 程 内 　 Ｓ Ｗ Ｒ ６     045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036899940工 程 内 　 Ｐ Ｋ ０ ９     068101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0036999950工 程 内 　 Ｒ Ｋ ３ ６     052101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037099960工 程 内 　 Ｓ Ｗ １ ０     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037199970工 程 内 　 Ｂ Ｗ ０ ４     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037299980工 程 内 　 Ｂ Ｗ ０ １     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037399990工 程 内 　 Ｓ Ｗ １ ８     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0050799998暫 定                 000111111000000000000000000    011000001110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0040099999誤 品 照 合 テ ス ト 用     000111111000000000000000000    000000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           

